time,open,high,low,close,tick_volume,spread,real_volume
2026-02-13 18:48:00,1.1869399999999999,1.1869399999999999,1.1868,1.18682,43,0,0
2026-02-13 18:49:00,1.18682,1.1869399999999999,1.18678,1.18683,59,0,0
2026-02-13 18:50:00,1.1868400000000001,1.1869,1.18682,1.1868400000000001,46,0,0
2026-02-13 18:51:00,1.1868400000000001,1.18686,1.18669,1.18674,43,0,0
2026-02-13 18:52:00,1.18674,1.18686,1.18668,1.18686,64,0,0
2026-02-13 18:53:00,1.18687,1.18701,1.18687,1.18696,68,0,0
2026-02-13 18:54:00,1.18696,1.18713,1.18695,1.18711,58,0,0
2026-02-13 18:55:00,1.18711,1.18716,1.18699,1.1871,61,0,0
2026-02-13 18:56:00,1.1871,1.18724,1.18703,1.18705,66,0,0
2026-02-13 18:57:00,1.18704,1.18716,1.18704,1.1871,60,0,0
2026-02-13 18:58:00,1.18711,1.18724,1.18705,1.18705,72,0,0
2026-02-13 18:59:00,1.18705,1.18705,1.18687,1.18688,40,0,0
2026-02-13 19:00:00,1.18688,1.18704,1.1868400000000001,1.1868400000000001,75,0,0
2026-02-13 19:01:00,1.18685,1.18711,1.18685,1.18711,53,0,0
2026-02-13 19:02:00,1.18711,1.18714,1.18697,1.1871,54,0,0
2026-02-13 19:03:00,1.18712,1.18722,1.18712,1.18717,38,0,0
2026-02-13 19:04:00,1.18717,1.18719,1.18709,1.18712,35,0,0
2026-02-13 19:05:00,1.18712,1.18734,1.18709,1.18734,55,0,0
2026-02-13 19:06:00,1.18734,1.18741,1.18731,1.18739,56,0,0
2026-02-13 19:07:00,1.18739,1.1874500000000001,1.18729,1.18734,54,0,0
2026-02-13 19:08:00,1.18734,1.18741,1.18734,1.18737,33,0,0
2026-02-13 19:09:00,1.18736,1.18744,1.18736,1.18737,35,0,0
2026-02-13 19:10:00,1.18737,1.18746,1.18737,1.18744,51,0,0
2026-02-13 19:11:00,1.18744,1.18761,1.18744,1.18751,58,0,0
2026-02-13 19:12:00,1.18752,1.1877900000000001,1.18752,1.1877900000000001,59,0,0
2026-02-13 19:13:00,1.1877900000000001,1.18815,1.1877900000000001,1.18814,81,0,0
2026-02-13 19:14:00,1.18814,1.18825,1.18814,1.18821,94,1,0
2026-02-13 19:15:00,1.18821,1.18828,1.18813,1.18813,47,0,0
2026-02-13 19:16:00,1.18813,1.18819,1.18803,1.1881,57,0,0
2026-02-13 19:17:00,1.1881,1.18814,1.18789,1.18789,43,0,0
2026-02-13 19:18:00,1.18789,1.18789,1.18776,1.1878,68,0,0
2026-02-13 19:19:00,1.18778,1.18781,1.18767,1.18774,59,0,0
2026-02-13 19:20:00,1.18774,1.18777,1.18769,1.18775,68,0,0
2026-02-13 19:21:00,1.18775,1.18803,1.18773,1.18795,67,0,0
2026-02-13 19:22:00,1.18795,1.18798,1.18778,1.1879,70,0,0
2026-02-13 19:23:00,1.1879,1.18796,1.1878,1.1878,43,0,0
2026-02-13 19:24:00,1.1878,1.1878,1.18764,1.18764,55,0,0
2026-02-13 19:25:00,1.18766,1.18769,1.18765,1.18769,33,0,0
2026-02-13 19:26:00,1.18766,1.18784,1.18763,1.1878199999999999,38,0,0
2026-02-13 19:27:00,1.18784,1.18788,1.1877900000000001,1.18786,44,0,0
2026-02-13 19:28:00,1.18786,1.18791,1.18767,1.18784,50,0,0
2026-02-13 19:29:00,1.18784,1.18791,1.18777,1.18778,34,0,0
2026-02-13 19:30:00,1.18778,1.18778,1.18764,1.18768,51,0,0
2026-02-13 19:31:00,1.18768,1.18769,1.18757,1.18762,48,0,0
2026-02-13 19:32:00,1.18762,1.18764,1.18751,1.18751,41,0,0
2026-02-13 19:33:00,1.1875,1.18759,1.18738,1.18759,46,0,0
2026-02-13 19:34:00,1.18759,1.18759,1.18737,1.18737,37,0,0
2026-02-13 19:35:00,1.18737,1.18743,1.18737,1.1874,44,0,0
2026-02-13 19:36:00,1.1874,1.18754,1.1874,1.1875,52,0,0
2026-02-13 19:37:00,1.1875,1.1875,1.18736,1.18747,47,0,0
2026-02-13 19:38:00,1.18747,1.18753,1.18739,1.18741,44,0,0
2026-02-13 19:39:00,1.18741,1.18744,1.18736,1.18741,40,0,0
2026-02-13 19:40:00,1.18741,1.18748,1.18732,1.18733,51,0,0
2026-02-13 19:41:00,1.18733,1.18747,1.18732,1.18744,55,0,0
2026-02-13 19:42:00,1.18744,1.18746,1.18739,1.18741,43,0,0
2026-02-13 19:43:00,1.18741,1.18759,1.18736,1.18759,52,0,0
2026-02-13 19:44:00,1.18759,1.18776,1.18759,1.18765,37,1,0
2026-02-13 19:45:00,1.18765,1.18773,1.1876,1.18773,42,1,0
2026-02-13 19:46:00,1.18773,1.18773,1.18763,1.18768,39,0,0
2026-02-13 19:47:00,1.18769,1.1877,1.18762,1.1877,27,0,0
2026-02-13 19:48:00,1.1877,1.18785,1.18768,1.18773,37,0,0
2026-02-13 19:49:00,1.18773,1.18774,1.18769,1.18773,38,0,0
2026-02-13 19:50:00,1.18773,1.18773,1.1877,1.18771,34,0,0
2026-02-13 19:51:00,1.18771,1.18791,1.18771,1.1879,64,0,0
2026-02-13 19:52:00,1.1879,1.18824,1.18789,1.1882,60,0,0
2026-02-13 19:53:00,1.1882,1.1882,1.18798,1.18804,38,0,0
2026-02-13 19:54:00,1.18805,1.18805,1.18773,1.1878,50,0,0
2026-02-13 19:55:00,1.1878,1.18786,1.18774,1.18774,40,0,0
2026-02-13 19:56:00,1.18772,1.18773,1.18758,1.1876,48,0,0
2026-02-13 19:57:00,1.1876,1.18768,1.1875,1.18763,45,0,0
2026-02-13 19:58:00,1.18764,1.18767,1.18754,1.18756,46,0,0
2026-02-13 19:59:00,1.18756,1.18758,1.18748,1.18749,44,0,0
2026-02-13 20:00:00,1.18751,1.18759,1.18751,1.18756,39,0,0
2026-02-13 20:01:00,1.18756,1.18773,1.18756,1.18759,48,0,0
2026-02-13 20:02:00,1.18759,1.18767,1.18758,1.18758,21,0,0
2026-02-13 20:03:00,1.18758,1.18765,1.18757,1.18765,25,0,0
2026-02-13 20:04:00,1.18765,1.18767,1.18753,1.18759,44,0,0
2026-02-13 20:05:00,1.18759,1.18762,1.1875,1.18759,46,0,0
2026-02-13 20:06:00,1.18759,1.18759,1.18751,1.18758,37,0,0
2026-02-13 20:07:00,1.18758,1.18759,1.1875,1.1875,33,0,0
2026-02-13 20:08:00,1.1875,1.18751,1.18744,1.1874500000000001,32,0,0
2026-02-13 20:09:00,1.1874500000000001,1.1874500000000001,1.18731,1.18736,61,0,0
2026-02-13 20:10:00,1.18736,1.18756,1.18732,1.1875499999999999,57,0,0
2026-02-13 20:11:00,1.1875499999999999,1.18757,1.18749,1.18751,25,0,0
2026-02-13 20:12:00,1.18751,1.18756,1.18748,1.18754,26,0,0
2026-02-13 20:13:00,1.18754,1.1875499999999999,1.18749,1.18754,28,0,0
2026-02-13 20:14:00,1.18754,1.18759,1.18751,1.18756,32,0,0
2026-02-13 20:15:00,1.18756,1.18759,1.18754,1.1875499999999999,45,0,0
2026-02-13 20:16:00,1.1875499999999999,1.18757,1.18751,1.18754,39,0,0
2026-02-13 20:17:00,1.18754,1.18754,1.18749,1.18749,34,0,0
2026-02-13 20:18:00,1.18749,1.1875,1.18741,1.18743,48,0,0
2026-02-13 20:19:00,1.18743,1.1874500000000001,1.18735,1.18743,65,0,0
2026-02-13 20:20:00,1.18743,1.18746,1.18736,1.18744,30,0,0
2026-02-13 20:21:00,1.18744,1.18746,1.18737,1.18739,49,0,0
2026-02-13 20:22:00,1.18739,1.18741,1.1873,1.1873,47,0,0
2026-02-13 20:23:00,1.18731,1.18744,1.18728,1.18742,29,0,0
2026-02-13 20:24:00,1.18742,1.1874500000000001,1.18739,1.18741,26,0,0
2026-02-13 20:25:00,1.18741,1.18752,1.18737,1.1875,34,0,0
2026-02-13 20:26:00,1.18746,1.18765,1.18744,1.18764,39,0,0
2026-02-13 20:27:00,1.18764,1.18771,1.18764,1.18765,22,0,0
2026-02-13 20:28:00,1.18765,1.18772,1.18764,1.18771,30,0,0
2026-02-13 20:29:00,1.18771,1.18771,1.18758,1.18764,69,0,0
2026-02-13 20:30:00,1.18764,1.18774,1.18763,1.18773,63,0,0
2026-02-13 20:31:00,1.18773,1.1878,1.18773,1.1877900000000001,28,0,0
2026-02-13 20:32:00,1.1877900000000001,1.18786,1.18778,1.1878199999999999,30,0,0
2026-02-13 20:33:00,1.1878199999999999,1.18789,1.18781,1.18783,30,0,0
2026-02-13 20:34:00,1.18783,1.18785,1.1877900000000001,1.1878,36,0,0
2026-02-13 20:35:00,1.1878,1.18783,1.1877,1.1877,28,0,0
2026-02-13 20:36:00,1.1877,1.1877,1.18759,1.18764,38,0,0
2026-02-13 20:37:00,1.18765,1.18773,1.18763,1.18766,33,0,0
2026-02-13 20:38:00,1.18766,1.1877,1.18762,1.18769,54,0,0
2026-02-13 20:39:00,1.18769,1.1877900000000001,1.18766,1.18772,30,0,0
2026-02-13 20:40:00,1.18772,1.18777,1.1877,1.18774,32,0,0
2026-02-13 20:41:00,1.18774,1.18778,1.18773,1.18776,25,0,0
2026-02-13 20:42:00,1.18777,1.18786,1.1877,1.18784,34,0,0
2026-02-13 20:43:00,1.18784,1.18788,1.18781,1.18786,23,0,0
2026-02-13 20:44:00,1.18786,1.18799,1.18784,1.18799,39,0,0
2026-02-13 20:45:00,1.18799,1.18804,1.18799,1.18801,60,0,0
2026-02-13 20:46:00,1.18801,1.18807,1.188,1.18801,22,0,0
2026-02-13 20:47:00,1.18801,1.18801,1.18797,1.188,22,0,0
2026-02-13 20:48:00,1.188,1.18803,1.18799,1.18801,12,0,0
2026-02-13 20:49:00,1.18801,1.18803,1.18791,1.18791,15,0,0
2026-02-13 20:50:00,1.18791,1.18791,1.18776,1.18776,31,0,0
2026-02-13 20:51:00,1.18776,1.18778,1.18769,1.1877,30,0,0
2026-02-13 20:52:00,1.1877,1.18774,1.1876,1.1876,34,0,0
2026-02-13 20:53:00,1.18761,1.18764,1.18749,1.1875499999999999,42,0,0
2026-02-13 20:54:00,1.1875499999999999,1.18761,1.18752,1.18759,40,0,0
2026-02-13 20:55:00,1.18759,1.18761,1.1875,1.18751,47,0,0
2026-02-13 20:56:00,1.18751,1.1875499999999999,1.18744,1.18751,60,0,0
2026-02-13 20:57:00,1.18751,1.18751,1.18734,1.18739,54,0,0
2026-02-13 20:58:00,1.18739,1.18739,1.18728,1.18731,44,0,0
2026-02-13 20:59:00,1.18732,1.18747,1.18723,1.18736,48,0,0
2026-02-13 21:00:00,1.18736,1.1875,1.18735,1.18746,54,1,0
2026-02-13 21:01:00,1.18746,1.18748,1.18737,1.18744,40,1,0
2026-02-13 21:02:00,1.18744,1.18746,1.18727,1.18729,41,1,0
2026-02-13 21:03:00,1.18729,1.18729,1.18706,1.18714,34,1,0
2026-02-13 21:04:00,1.18714,1.18719,1.18711,1.18712,24,0,0
2026-02-13 21:05:00,1.18712,1.18724,1.18712,1.18716,34,0,0
2026-02-13 21:06:00,1.18716,1.1872099999999999,1.18713,1.1871800000000001,48,0,0
2026-02-13 21:07:00,1.1871800000000001,1.18737,1.1871800000000001,1.18736,43,0,0
2026-02-13 21:08:00,1.18735,1.18744,1.18729,1.18732,30,0,0
2026-02-13 21:09:00,1.18733,1.18737,1.18729,1.18736,30,0,0
2026-02-13 21:10:00,1.18736,1.18737,1.1873,1.18731,23,0,0
2026-02-13 21:11:00,1.18731,1.18732,1.18722,1.18726,40,0,0
2026-02-13 21:12:00,1.18726,1.18733,1.1872099999999999,1.1872099999999999,32,0,0
2026-02-13 21:13:00,1.18719,1.18724,1.18716,1.1871800000000001,40,0,0
2026-02-13 21:14:00,1.1871800000000001,1.18719,1.18713,1.18714,23,0,0
2026-02-13 21:15:00,1.18714,1.18715,1.18709,1.18709,33,0,0
2026-02-13 21:16:00,1.18709,1.18719,1.18709,1.1871800000000001,27,0,0
2026-02-13 21:17:00,1.1871800000000001,1.1872,1.18709,1.18712,40,0,0
2026-02-13 21:18:00,1.18712,1.18715,1.18706,1.18709,32,0,0
2026-02-13 21:19:00,1.18709,1.1871,1.18708,1.18709,15,0,0
2026-02-13 21:20:00,1.18709,1.18738,1.18707,1.18735,41,0,0
